Хичээлийн_дугаар,Хичээлийн_индекс,Монгол_нэр,Англи_нэр,Харьяалах_бүтцийн_дугаар,Харьяалах_бүтэц,Харьяалах_тэнхим_дугаар,Харьяалах_тэнхим,Сургалтын_түвшин,Орох_улирал,Тодорхойлсон_огноо,Багц_цаг
52935de5832759231c25292dd6c3b841,IMTH212,Хөгжмийн онолын үндэс /дунд/, Introduction to Music Theory /intermediate/,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2017,3
06ebaf4306562823d37da3071facc9d0,ITLD202,Суралцахуй багшлахуйн үндэс,Introduction to Learning and Teaching,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2017,3
571064165ebaea8f38b14c42d27e6865,MMPre314,Хөгжим заах арга зүй /СӨБ/, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Намрын улирал,2017,3
5bf73f0ab50f712f61880e1254f1b723,MMPri315,Хөгжим заах арга зүй /Бага/ , ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2017,3
edd407e7a5c6cd76b8fc6a7435b7e316,MMS316,Хөгжим заах арга зүй /дунд/, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Намрын улирал,2017,3
c2f34ed953fbaf32dc52ccca8afc4389,MUCO311,Хөгжмийн найруулга зүй,Musical Composition,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Намрын улирал,2020,2
f047575e706451ca0ed912cf3d11daba,MUEG210,Хөгжмийн техник хэрэгсэл,Music equipment,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Намрын улирал,2017,1
b1211abafb24dcd0eea6ef6e8f4790a6,MUTHN307,Соноршуулга /анхан/, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2017,3
76607c8d892045f92be8094007e338f5,MUTHN308,Соноршуулга /дунд/, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2017,2
a4700f244723a6277a576f50af1d387b,TMPP321,Төгөлдөр хуур заах арга, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2017,2
d802a3e63c700493242d9d104389c7df,TRMU309,Үндэсний хөгжим-2,Traditional music-2,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2017,3
d6c93ba90d7a0b63fc8143ff18cab6f1,VM317,Даралтат хөгжим-1, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2017,3
85e04222fe1714e379c3061e65193a35,VM318,Даралтат хөгжим-2, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Намрын улирал,2017,2
09d565939e10290bb5cb27596845f186,ARSD214,Урлаг судлал, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
dcdd0d62a00c7ccf110885b9275419cf,ASKI331,Жүжиглэхүйн уран чадвар, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,1
3314dfc68a97404aeecc86a670e50766,BTHD327,Бакалаврын төгсөлтийн ажил, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2022,2
