Хөтөлбөрийн_дугаар,Хөтөлбөрийн_индекс,Хөтөлбөрийн_монгол_нэр,Хөтөлбөрийн_англи_нэр,Академик_түвшин,Харьяалах_нэгжийн_дугаар,Харьяалах_нэгжийн_нэр,Батлагдсан_он
788be479ca742ec1c0c3e84b6d343d97,F 10150101,Аялал жуулчлал,Tourism,Доктор,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2022
9160619c7643da8f42a5ac6a3b0a9ddb,E 04130401,Аялал жуулчлалын менежмент,Tourism management,Магистр,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2022
491e6f626aa21bb8453441b2130cda7c,E 04130401,Аялал жуулчлалын менежмент,Tourism management,Магистр,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2022
9d4d3500ad1d9dd90d760f654d19fd47,E 04130201,Бизнесийн менежмент,Business management,Магистр,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2022
eddfafab8d92c9146fe05443c54ec2c7,E 04130201,Бизнесийн менежмент,Business management,Магистр,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2022
8b2bde91c3c6d90e9a252377289ad843,-,Бизнесийн сургуулийн ерөнхий суурь хөтөлбөр,Business Administration,Бакалавр,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2014
1b702052483fa050d2868410441faec3,Е111111   ,Бизнесийн сургуулийн иргэнд зориулсан хөтөлбөр, Free for everyone,Магистр,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2020
e2f317bb12b7a3525b89425f7cee9a8d,F 041301  ,Бизнесийн удирдлага,Business administration ,Доктор,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2023
faeb55e700510abcfe60cfd6d378e38c,E 04130101,Бизнесийн удирдлага,Business administration,Магистр,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2022
ecd151126c6272313f73b3ff39c5cae0,E 10130101,Зочлох үйлчилгээ,Hospitality,Магистр,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2022
1e06cfb9cbe526fd1645b121c465ca21,E 10130101,Зочлох үйлчилгээ,Hospitality,Магистр,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2022
a815efce5f3a9e3bfb2f5c2d63d16bb6,E 04140101,Маркетинг,Marketing,Магистр,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2022
241bfd81b64fd433d660fa3fbedd055f,E 04140101,Маркетинг,Marketing,Магистр,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2022
dea3dc67f4da83330bdf8b0f47685e92,E 04110101,Нягтлан бодох бүртгэл,Accounting,Магистр,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2022
3d401670feb0eb671fb99077b5bd0ab8,E 04110101,Нягтлан бодох бүртгэл,Accounting,Магистр,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2022
ca1d146a02430ea169d82218007ca503,E 04120101,Санхүү,Finance,Магистр,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2022
87fca41abbbe99790412213cb438c813,E 04120101,Санхүү,Finance,Магистр,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2022
15912828c71ae2db5cb665b0e2fb5e28,D-,Хичээл солилцооны хөтөлбөр,-,Доктор,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2021
9d03237273b48386fa47c90d5e3a9ad0,F 04160101,Худалдаа,Commerce,Доктор,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2022
c3cedf8a7658c9cf1a249b5e69c06bd1,E 04160101,Худалдаа,Commerce,Магистр,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2022
bc6bc08a06de37449f4b2cd6d8c66e42,E 04160101,Худалдаа,Commerce,Магистр,25f2cc0603042191aff533208b8239fc,Бизнесийн сургууль,2022
3f3dcc8acd08196666b4292d843f9c8d,E 041602  ,"Гадаад худалдаа, гаалийн удирдлага",Foreign Trade and Customs Management,Магистр,692bdebe0c47cb57db00458e00bd1fab,Маркетинг худалдааны тэнхим,2023
